ID,length,width,Label
1111,65.297,48.426,M
1112,62.242,47.034,M
1113,64.146,51.001,F
1114,59.862,46.202,F
1115,65.219,47.512,F
1116,63.678,47.653,M
1121,61.961,48.617,F
1122,63.491,48.001,F
1123,62.565,47.147,F
1124,62.311,47.091,M
1125,66.055,47.612,F
1126,64.193,49.14,F
1131,65.467,50.406,M
1132,65.346,49.488,M
1133,64.289,49.34,F
1134,63.148,48.758,M
1135,62.504,49.319,M
1136,64.313,47.722,F
1141,64.22,47.807,F
1142,63.68,49.843,M
1143,61.189,47.859,M
1144,65.319,47.07,non-fertile
1145,63.662,47.993,M
1146,63.45,48.564,F
1151,66.706,48.955,M
1152,61.377,50.401,non-fertile
1153,66.063,50.098,F
1154,67.259,48.42,F
1155,64.631,48.93,F
1156,58.905,45.999,M
1161,62.189,47.803,F
1162,64.536,48.419,M
1163,62.971,48.107,M
1164,62.089,47.187,F
1165,61.057,48.393,M
1166,61.227,47.211,M
1211,65.963,50.2,F
1212,66.562,51.102,M
1213,65.818,48.358,M
1214,65.417,49.313,M
1215,62.236,48.611,M
1216,63.82,47.351,non-fertile
1221,67.164,49.429,M
1222,64.381,47.416,non-fertile
1223,64.06,49.562,M
1224,64.637,48.904,M
1225,63.896,47.842,M
1226,64.245,48.912,F
1231,67.089,47.628,non-fertile
1232,64.562,47.804,F
1233,69.188,50.179,M
1234,64.822,47.435,M
1235,63.74,49.052,F
1236,64.452,47.4,F
1241,66.854,49.039,non-fertile
1242,64.376,47.956,M
1243,62.836,46.855,M
1244,65.169,48.575,M
1245,59.433,45.617,F
1246,63.267,48.012,M
1251,62.119,47.099,M
1252,62.976,47.58,M
1253,63.411,49.04,M
1254,63.029,46.755,M
1255,64.826,47.323,M
1256,64.355,47.782,M
1261,61.252,46.625,M
1262,61.699,46.317,M
1263,64.402,47.863,M
1264,61.892,48.842,M
1265,65.961,46.56,M
1266,60.591,47.944,F
1311,63.857,48.134,M
1312,63.385,48.032,M
1313,62.55,47.683,F
1314,65.959,49.853,F
1315,64.256,47.752,F
1316,64.609,46.282,F
1321,64.796,49.8,M
1322,60.582,48.104,non-fertile
1323,62.886,48.132,M
1324,63.196,48.257,F
1325,65.395,48.912,M
1326,67.969,50.309,M
1331,64.353,49.087,F
1332,59.601,47.055,F
1333,65.339,49.034,M
1334,64.412,47.82,non-fertile
1335,62.24,48.445,F
1336,65.484,48.642,F
1341,65.369,50.763,F
1342,61.783,47.725,M
1343,67.619,46.75,non-fertile
1344,64.634,48.985,M
1345,66.791,49.638,F
1346,61.089,48.118,M
1351,60.777,46.866,non-fertile
1352,65.283,48.431,F
1353,66.449,48.322,M
1354,66.587,49.134,M
1355,64.3,49.132,M
1356,59.787,46.599,M
1361,62.23,49.294,F
1362,67.002,47.798,M
1363,64.519,47.156,M
1364,63.862,48.625,M
1365,61.109,48.314,M
1366,62.899,51.116,F
2111,62.613,48.551,M
2112,61.41,48.859,M
2113,63.993,48.441,M
2114,63.794,49.247,M
2115,62.435,48.12,M
2116,66.308,49.436,M
2121,64.408,50.39,F
2122,62.516,48.537,M
2123,63.562,48.165,M
2124,67.476,48.184,M
2125,63.977,49.297,M
2126,59.741,47.526,M
2131,64.317,48.146,M
2132,66.66,49.431,M
2133,61.092,48.332,M
2134,62.51,47.485,M
2135,63.236,48.849,M
2136,64.585,48.113,M
2141,62.283,49.388,M
2142,62.955,49.037,M
2143,61.643,46.787,M
2144,64.195,48.123,non-fertile
2145,66.919,50.509,non-fertile
2146,64.244,47.213,M
2151,63.87,47.015,M
2152,65.575,48.841,M
2153,63.508,49.385,M
2154,66.992,50.304,M
2155,64.979,47.364,M
2156,64.544,46.779,F
2161,62.675,48.442,M
2162,66.395,50.445,F
2163,62.141,47.048,F
2164,67.329,48.54,M
2165,61.259,47.351,M
2166,66.076,48.593,M
2211,64.958,49.954,M
2212,62.151,48.485,M
2213,64.625,48.248,F
2214,63.016,48.067,F
2215,65.564,48.099,M
2216,64.053,47.355,M
2221,60.727,47.108,F
2222,63.737,48.741,F
2223,62.919,46.072,M
2224,63.647,47.569,F
2225,68.342,48.944,F
2226,63.696,48.624,F
2231,60.853,49.253,M
2232,64.912,47.867,F
2233,61.761,47.692,M
2234,62.332,46.859,M
2235,62.484,47.779,M
2236,64.517,47.263,F
2241,61.383,46.171,M
2242,65.841,49.401,M
2243,66.067,49.569,M
2244,62.788,47.404,F
2245,65.58,49.122,non-fertile
2246,60.928,47.222,M
2251,61.59,49.365,M
2252,65.168,48.868,F
2253,63.762,47.523,non-fertile
2254,63.336,45.862,M
2255,61.052,47.324,M
2256,65.025,48.317,F
2261,63.565,47.74,F
2262,64.82,47.437,F
2263,63.678,47.883,M
2264,63.053,50.526,F
2265,64.535,48.77,M
2266,63.489,47.24,M
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
